Sentences,contains_a_deadline,deadline,deadline_type
legitimate excuse must not be only for the day of th e due date. If the excuse is accepted the due,0,,
date of the assignment will be extended. If an online  assignment is not submitted on time and a,0,,
legitimate excuse is not provided or accepted it w ill result in a mark of zero for the assignment.,0,,
SCHEDULE,0,,
Course Outline,0,,
0.  Introduction,0,,
Chapter 1 Economics and life,0,,
Chapter 2 Specialization and Exchange and Appendix A,0,,
Chapter 3 Markets and Appendix B,0,,
Chapter 4 Elasticity and Appendix C,0,,
First midterm exam  February 6 th,1,02-6,midterm
Chapter 5 Efficiency,0,,
Chapter 6 Government Intervention,0,,
Chapter 7 Consumer Behaviour,0,,
Chapter 12 The cost of production,0,,
Second midterm exam  March 12 th,1,03-12,midterm
Chapter 13 Perfect Competition,0,,
Chapter 14 Monopoly,0,,
Chapter 17 International Trade,0,,
Chapter 18 Externalities,0,,
Chapter 19 Public Goods and Common Resources,0,,
Chapter 20 Taxation and Public Budget,0,,
The previous schedule is an approximation. The topic s covered every week may vary,0,,
depending on the course progress.,0,,
BIBLIOGRAPHY,0,,
Textbook  Microeconomics  Custom 1st Canadian edition by Karlan Morduch A lam and Wong.,0,,
The study guide is accessible through the online plat form called Connect.  There is no hardcopy,0,,
version of the study guide.,0,,
Accessory   This platform is called Connect  for which you must register for access via a user code .,0,,
It contains different components all of which are h ighly interactive. For each chapter there is,0,,
one component called  chapter assignments for marks which consists of a n exercisequiz that,0,,
you must do.   These problems and applications contained within app ear at the end of each,0,,
chapter in the textbook.  The next component is call ed  practice assignments  which in turn,0,,
consists of two parts.  One involves multiple choice qu estions while the other contains other exercises that are found at the end of each chapter.   Your score for this component is not,0,,
recorded and it does not count. Another practice co mponent is called math  review that includes,0,,
practice exercises from the appendixes covered in th is course. Again your score for this,0,,
component is not recorded and it does not count.  T he last component is called the  smartbook .,0,,
This particular tool is adopted to follow the Ebook page by page.  It highlights the major points,0,,
and gives the reader dozens of quick knowledge chec k questions that are associated with the,0,,
highlights.  These yesno and multiplechoice question s do not count.,0,,
The primary motivation in adding this accessory to th e course requirements is to discourage you,0,,
from the tempting yet selfdestructive practice of falling five weeks behind in class a dangerous,0,,
tendency that at typically about onethird of the st udents who take this course exhibit.,0,,
The courseweb BrightSpace  which you can find on httpswww.uottawa.caenstud ents and,0,,
then click on virtual campus contains the followi ng components,0,,
Syllabus,0,,
PowerPoint slides,0,,
A mark lookup function exam grades,0,,
Announcements,0,,
Discussion forum,0,,
Other relevant information,0,,
OTHER CONSIDERATIONS,0,,
You are strongly encouraged although not required to attend all lectures.,0,,
If you come,0,,
Arrive on time for lectures,0,,
Leave the room quietly,0,,
Be quiet in class respect others,0,,
Turn off the phone,0,,
You can use computer for note taking. Its up to you  to decide what to do you,0,,
with your computer but do not forget the opportuni ty cost of your time except,0,,
disturbing your classmates or myself.,0,,
I will be tolerant if things are going smoothly,0,,
There is no discussion about grades. Grading is not a bargaining process. Remember that,0,,
grades are a certification of your learning,0,,
Avoid sending emails asking for a grade improvement.,0,,
I do not answer emails asking for information that is posted on Brightspace or explained,0,,
in class.,0,,
Late submissions are not accepted even if it is just fe w minutes. Avoid asking for an,0,,
extension without a legitimate excuse.,0,,
Policy on class attendance language quality and la te submissions,0,,
Class attendance is necessary to successfully complete thi s course.,0,,
You will also be judged on your writing abilities. I t is recommended to take the appropriate,0,,
measures to avoid mistakes such as spelling syntax punct uation inappropriate use of terms,0,,
etc. You may be penalized up to 15% to the professo rs discretion.,0,,
Late submissions are not tolerated. Exceptions are made  only for illness or other serious,0,,
situations deemed as such by the professor. There will be a penalty for late submissions.,0,,
University regulations require all absences from exams a nd all late submissions due to illness,0,,
to be supported by a medical certificate.,0,,
We suggest that you advise your professor as early as possi ble if a religious holiday or a religious,0,,
event will force you to be absent during an evaluati on.,0,,
The University of Ottawa does not tolerate any form o f sexual violence. Sexual violence,0,,
refers to any act of a sexual nature committed withou t consent such as rape sexual,0,,
harassment or online harassment. The University as well  as student and employee,0,,
associations offers a full range of resources and servi ces allowing members of our,0,,
community to receive information and confidential a ssistance and providing for a procedure,0,,
to report an incident or make a complaint. For more  information visit,0,,
www.uOttawa.casexualviolencesupportandprevention,0,,
Resources for you,0,,
FACULTY MENTORING CENTRE   httpsocialsciences.uottawa.camentoring,0,,
The goal of the Mentoring Centre is to help student s with their academic and social wellbeing,0,,
during their time at the University of Ottawa.  Rega rdless of where a student stands,0,,
academically or how far along they are in completi ng their degree the Mentoring Centre is,0,,
there to help students continue on their path to succe ss.,0,,
A student may choose to visit the Mentoring Centre fo r very different reasons.  Younger,0,,
students may wish to talk to their older peers to gain insight into programs and services offered,0,,
by the University while older student may simply want  to brush up on study and time,0,,
management skills or learn about programs and services f or students nearing the end of their,0,,
degree.,0,,
In all the Mentoring Centre offers a place for stud ents to talk about concerns and problems,0,,
that they might have in any facet of their lives.  W hile students are able to voice their concerns,0,,
and problems without fear of judgment mentors can g arner further insight in issues unique to,0,,
students and find a more practical solution to better  improve the services that the Faculty of,0,,
Social Sciences offers as well as the services offere d by the University of Ottawa.,0,,
ACADEMIC WRITING HELP CENTRE   httpwww.sass.uottawa.cawriting,0,,
At the AWHC you will learn how to identify correct  and ultimately avoid errors in your writing,0,,
and become an autonomous writer.  In working with ou r Writing Advisors you will be able to,0,,
acquire the abilities strategies and writing tools tha t will enable you to,0,,
Master the written language of your choice,0,,
Expand your critical thinking abilities   Develop your argumentation skills,0,,
Learn what the expectations are for academic writin g,0,,
COUNSELLING AND COACHING   httpsass.uottawa.caenpersonal,0,,
There are many reasons to take advantage of the Cou nselling Service. We offer,0,,
Personal counselling,0,,
Career counselling,0,,
Study skills counselling,0,,
HUMAN RIGHTS OFFICE   httpswww.uottawa.carespecten,0,,
Mandate,0,,
To provide leadership in the creation implementatio n and evaluation of policies procedures,0,,
and practices on diversity inclusion equity accessib ility and the prevention of harassment and,0,,
discrimination.,0,,
Contact information,0,,
1 Stewart St. Main Floor  Room 121  Tel. 613 5625222  Email respectuOttawa.ca,0,,
ACADEMIC ACCOMMODATIONS   httpsass.uottawa.caenaccess,0,,
The University has always strived to meet the needs of individuals with learning disabilities or,0,,
with other temporary or permanent functional disabil ities hearingvisual impairments,0,,
sustained health issues mental health problems and the  campus community works,0,,
collaboratively so that you can develop and maintain  your autonomy as well as reach your full,0,,
potential throughout your studies.  You can call on a  wide range of services and resources all,0,,
provided with expertise professionalism and confiden tiality.,0,,
If barriers are preventing you from integrating into  university life and you need adaptive,0,,
measures to progress physical setting arrangements for  exams learning strategies etc.,0,,
contact the Access Service right away,0,,
in person in our office,0,,
online,0,,
by phone at 6135625976,0,,
Deadlines for submitting requests for adaptive meas ures during exams,0,,
midterms tests deferred exams seven business days befo re the exam test or,0,,
other written evaluation excluding the day of the exam itself,0,,
final exams,0,,
o November 15 for the fall session,0,,
o March 15 for the winter session,0,,
o Seven business days before the date of the exam for the,0,,
springsummer session excluding the day of the exam itse lf.,0,,
CAREER DEVELOPMENT CENTRE   httpwww.sass.uottawa.cacareers,0,,
Career Development Centre offers various services and r esources in career development to,0,,
enable you to recognize and enhance the employabili ty skills you need in todays world of,0,,
work.,0,,
STUDENT RESOURCES CENTRES   httpwww.communitylife.uottawa.caenresources.php,0,,
The Student Resources Centres aim to fulfill all sort s of student needs.,0,,
Beware of Academic Fraud,0,,
Academic fraud is an act committed by a student to di stort the marking of assignments,0,,
tests examinations and other forms of academic evalua tion. Academic fraud is neither,0,,
accepted nor tolerated by the University.  Anyone fo und guilty of academic fraud is,0,,
liable to severe academic sanctions.,0,,
Here are a few examples of academic fraud,0,,
engaging in any form of plagiarism or cheating,0,,
presenting falsified research data,0,,
handing in an assignment that was not authored in wh ole or in part by the student,0,,
submitting the same assignment in more than one course  without the written,0,,
consent of the professors concerned.,0,,
In recent years the development of the Internet has made it much easier to identify,0,,
academic plagiarism.  The tools available to your p rofessors allow them to trace the exact,0,,
origin of a text on the Web using just a few words.,0,,
In cases where students are unsure whether they are at  fault it is their responsibility to,0,,
consult the  Writing and Style Guide for University Papers and A ssignments.  It can be,0,,
found at httpsocialsciences.uottawa.caundergraduatewriting styleguide,0,,
Persons who have committed or attempted to commit  or have been accomplices to,0,,
academic fraud will be penalized. Here are some exam ples of the academic sanctions,0,,
which can be imposed,0,,
a grade of F for the assignment or course in questi on,0,,
an additional program requirement of between 3 and 30 credits,0,,
suspension or expulsion from the Faculty.,0,,
For more information refer to the Students Guide to Academic Integrity,0,,
httpwww.uottawa.cavicepresidentacademicsitesww w.uottawa.ca.vice,0,,
presidentacademicfilesacademicintegritystudents guide.pdf,0,,
and Academic Integrity Website Office of the ViceP resident Academic and Provost,0,,
httpweb5.uottawa.camcssmcacademicintegrityhom e.php,0,,
ADM3313P   WINTER 202 2,0,,
Professor  Sandra Schillo,0,,
Office  Home because Covid,0,,
EmailPhone  schillotelfer.uottawa.ca,0,,
Office Hours  Thursdays 1230 130pm  or email me for an appointment,0,,
or see if I am available on msteams,0,,
Class Location  Online synchronous  on msteams,0,,
Class Hours  Wed  230PM  520PM,0,,
Prerequisites  NA,0,,
Program of study   Mandatory course of  Entrepreneurship  option,0,,
Optional course  for all other programs,0,,
COURSE DESCRIPTION,0,,
Course Deliverable  Due Date  Weight on,0,,
Final Grade,0,,
Midterm exam  February 9  230 530pm  30%,1,02-09,midterm
Customer Validation  Report  March 2  230pm Presentation and Report  30%,1,03-2,report
Final Report  April 26 8pm 30%,1,04-26,final
Class Participation  ongoing  10%,0,,
COURSE OVERVIEW,0,,
The learning objective of this course is for students to gain knowledge and practice the skills required,0,,
to conceive a n idea for a social enterprise and begin the exploration and planning process to start a,0,,
new venture. The course covers basic issues relating to the start up phase of entrepreneurial,0,,
ventures such as ideation opportunities and their evaluation the business mod eling process,0,,
customer validation  considering a business social impacts  and constructing a business plan. The,0,,
course will use a combination of experiential methods development of a business model and,0,,
customer discovery through engagement with potentia l clients and more traditional methods,0,,
classroom lectures reading and exercises to help students acquire the tools for rigorous analysis of,0,,
opportunities as well as the attitudes and decision making skills required for successful start ups. The,0,,
style  and practical nature of this course will give students the skills and processes of developing new,0,,
business ventures  including social enterprises .,0,,
COURSE CONTRIBUTION TO PROGRAM LEARNING GOALS,0,,
LG1  Understand Apply and Integrate Core Management Disciplin es  Analysis of  new business,0,,
ideas techniques and strategies for opportunity assessment will enable students to,0,,
understand evaluate and apply learning about the fe asibility of a business venture and identify,0,,
social impacts of business.,0,,
LG2  Demonstrat e Critical Thinking and Decision making Skills  Students  will study the various,0,,
elements of the social business modeling and planning process including market evaluation,0,,
and marketing plan human and physical resource planning and financial planning. Cr itical,0,,
thinking and decision making is required in the development of a real social business plan.,0,,
LG3  Demonstrate Leadership Interpersonal and Communications Skills  Students will work in,0,,
teams on the preparation and presentation of their business models and validation plans.,0,,
LG4 Apply high standards of Integrity Ethics and Social Responsibility  Students will gain deeper,0,,
understanding of social concerns and means to address the m through business actions.,0,,
COURSE LEARNING OBJECTIVES,0,,
Through active participation in this course students will be able to,0,,
Understand and apply a process of ideation for ideas  for social businesses,0,,
Understand and be able to explain the business m odelling process including the process of,0,,
validating a business idea through customer discovery  and positioning it within a social context,0,,
Apply the concepts of the business modelling process and customer validation to an experiential,0,,
based group projec t,0,,
Learn and put to use the concepts of entrepreneurial  marketing operations and finance,0,,
Learn and apply the steps in business planning through use of their group projects and,0,,
Practice the communication of the business model through presentation s and providing and,0,,
receiving  feedback,0,,
TEXTBOOKCOURSE PACKAGE,0,,
There is no textbook.,0,,
Students are expected to complete research on their projects using library and internet resources.,0,,
COURSE MATERIALS  WHERE TO GET IT,0,,
Links to reading and videos  Power  Point slides  On Brightspace under each weeks session,0,,
Assignment guidelines,0,,
and rubrics  On Brightspace under assignments,0,,
COURSE SCHEDULE,0,,
Week,0,,
Class,0,,
Date  Subject Module,0,,
or Unit  Required Readings   Preparation,0,,
Deliverables  Activities,0,,
Assessment,0,,
1,0,,
Jan 12  Introduction,0,,
Preparation Consider social issues you are,0,,
interested in. Read syllabus carefully.,0,,
Be ready to engage in group work,0,,
attendance is mandatory and important.  Live online,0,,
Group activities,0,,
2,0,,
Jan 19  Idea Generation,0,,
Universal Design  Preparation Reading see Brightspace  Live online,0,,
Group activities,0,,
3,0,,
Jan 26  Business Models  Preparation Prepare Business Idea Slide  read,0,,
Business Model Kit Material on Brightspace  Live online,0,,
Group activities,0,,
4,0,,
Feb 2  Value Proposition  Preparation  Finalize groups before class decide,0,,
on a project  be prepared to draw value,0,,
proposition canvas.  Live online,0,,
Team  activities,0,,
5,0,,
Feb 9  Mid Term  Exam  Online,1,02-09,test
6,0,,
Feb 16 Customer,0,,
Validation  Reading See Brightspace  Live online,0,,
Team  activities,0,,
Feb 23 READING WEEK  Week,0,,
Class,0,,
Date  Subject Module,0,,
or Unit  Required Readings   Preparation,0,,
Deliverables  Activities,0,,
Assessment,0,,
7,0,,
Mar 2  Student,0,,
Presentations,0,,
Overview of,0,,
remaining topics  March 1  Assignment 1 Due,0,,
Preparation Presentation on Assignment,0,,
Homework after class Develop your pitch  Live online,0,,
Team,0,,
presentations,0,,
8,0,,
Mar 9 Marketing and,0,,
Sales  Preparation Pitch,0,,
Homework after class Prepare marketing,0,,
funnels for your team project  Live online,0,,
9,0,,
Mar 16 Key Activities and,0,,
their Impacts  Homework after class Identify your key,0,,
activities and their impacts  Live online,0,,
Team activities,0,,
10,0,,
Mar 23 Cash Flow,0,,
Budgeting  Homework after class Prepare Cash Flow,0,,
Statement for your team project  Live online,0,,
Team activity,0,,
11,0,,
Mar 30 Financing a New,0,,
Venture  Homework after class Identify financial,0,,
resources required and sources of funding for,0,,
your project  Live online,0,,
12,0,,
Apr 6 Student,0,,
Presentations  Preparation Complete Presentations.  Live online,0,,
Team Pitches,0,,
Guest Panel,0,,
INSTRUCTIONAL METHODS,0,,
This class will be on LIVE online each week with any exceptions outlined in the schedule. We will be,0,,
meeting on MSTeams unless the course outline indicates that we are meeting on Zoom. There is a lot,0,,
of group participation each week so it  is essential that you  be here at the scheduled time and actively,0,,
participating . Videos will be posted of most sessions in case you are having network connectivity,0,,
issues. But it is expected that you will be present and participating in group activities each week.,0,,
RECORDINGS OF SESSIONS,0,,
Class sessions may be recorded and your image voice and name may be disclosed to classmates.,0,,
Note that by remaining in sessions that are being recorded you are agreeing to the recording. If you,0,,
do not wish to be recorded please ensure your video is turned off and you can still participate by way,0,,
of the chat function .,0,,
Class recordings are made available only for the purpose of studying for this class. By accessing the,0,,
recordings you are agreeing to not share the recordings  in any format.,0,,
TECHNICAL REQUIREMENTS AND SUPPORT,0,,
The course requires that you to have a laptop or desktop computer with a reliable high speed,0,,
Internet connection that allows you to watch videos participate in group activities discussion,0,,
forums upload images and use y our uOttawa Google Drive.,0,,
Video conferencing software MS Teams Zoom  is used for meeting with the instructor  so you will,0,,
need to have a webcam and audiovoice capabilities through your computer. MS Teams and Zoom,0,,
work on mobilesmart phones as well.,0,,
If you experience difficulties with Brightspace or with logins to any uOttawa systems please do not,0,,
contact the instructor or the course TA until you have tried to solve the problem through the IT,0,,
supports in place at the University.,0,,
For all questions  related to Brightspace call the support line between 8 AM and 8 PM Eastern  at 1,0,,
8668113201 OR submit an online request using this form  24 hours a day .,0,,
For any other IT related issues please contact IT services . They have a helpdesk that you can call or,0,,
you can submit a service ticket with a specific request 24 hours a day.,0,,
For problems connecting to the library service s you can also contact the Morisset Help Desk .,0,,
USE OF RESPONDUS SOFTWARE FOR ONLINE EXAMS,0,,
The University of Ottawa will be implementing the use of software provided by Respondus exam,0,,
proctori ng services for the purposes of ensuring the integrity of online examinations. Respondus is,0,,
just one means of ensuring academic integrity when conducting assessments.  Please consult the,0,,
TLSS FAQ for more information.  The Respondus software is comprised of two components  1 LockDown Browser and 2 Monitor.,0,,
Please watch this  short video  to get a b asic understanding of how the LockDown Browser and the,0,,
Monitor software works.,0,,
Prior to t aking an online test  you will be required to  download and install the LockDown Browser .,0,,
Start the LockDown Browser and navigate to the exam. For additional details on using this service,0,,
please review this Student Quick Start Guide .,0,,
When taking an online exam note the foll owing,0,,
o Make sure to have access to a private and well lit location with access to reliable internet.,0,,
o Turn off all mobile devices phones etc. and do not have them within reach .,0,,
o Clear your exam area of all external materials  books papers other computers or devices.,0,,
o Know how much time is available for the exam  and that you have allotted sufficient time to,0,,
complete it .  LockDown  Browser will prevent you from accessing other websites or,0,,
applications and you will be unable to exit the test until all questions are completed and,0,,
submitted.,0,,
o Remain at your desk or workstation for the duration of the exam.,0,,
Notice  of Collection  of Personal Information   Respondus,0,,
In accordance with the Ontario Freedom of Information and Prote ction of Privacy Act FIPPA a nd,0,,
with the University of Ottawa the University Policy 90 your personal information is collected,0,,
under the authority of the Uni versity of Ottawa Act 1965.,0,,
Your personal information collected for remote proctoring will be  used by the University for the,0,,
purposes of and those consistent with the fulfillment of the course learning activities administering,0,,
online exams and maintainin g the academic integrity of the exam process. After each evaluation the,0,,
personal information collected during the remote proctoring session will be reviewed by your,0,,
instructor or their designate for the purposes stated above. The personal information co llected may,0,,
be used where academic fraud is alleged as described in Academic regulation I 14  Academic fraud.,0,,
The remote proctoring is supported by Respondus an online proctoring tool integrated with and,0,,
accessed through Brightspace. LockDown Browser is  a customized browser that locks the testing,0,,
environment and Respondus Monitor is a companion service for LockDown Browser that uses,0,,
webcam technology to maintain the integrity of online evaluations. Consult the Respondus Privacy,0,,
Policy and Terms of Use  LockDown Browser or Terms of Use  Respondus Monitor for information,0,,
on how Respondus collects uses and discloses information and its security measures for,0,,
safeguarding the information maintained by it. The personal information may be stored outside,0,,
Canad a and subject to the laws of the jurisdiction where it is stored. The information collected in,0,,
accordance with this notice will be retained for one year from the end of the semester.  If you have questions about the collection use and disclosure of your pe rsonal information in this,0,,
notice please contact your instructor. Questions of a general nature regarding the collection use and,0,,
disclosure of information should be addressed to the Chief Privacy Officer of the University.,0,,
EXPECTATIONS FOR COMMUNICATION S,0,,
Students are asked to monitor their uOttawa.ca e mail accounts regularly and carefully  not your,0,,
personal email accounts such as Yahoo Gmail or Hotmail as this is the conduit through which the,0,,
professor will communicate matters that concern the entire  class.  Due to the high amount of,0,,
illegitimate emails p rofessor s at Telfer are asked to only respond to email message from registered,0,,
students using their uOttawa.ca email account.,0,,
Please ensure that you have set up your Brightspace account to receive notification of,0,,
announcements to your uOttawa.ca email address and have downloaded MS Teams as well as,0,,
signing up for ZOOM you can use the free version or the uOttawa account for students.,0,,
Please note that the University of Ottawa email system regularly experiences delays and occasionally,0,,
drops emails altogether. If you have emailed a professor and not received a response within 24 hours,0,,
during the working week  it is likely that there was a glitch in the system. Please resend your email to,0,,
ensure it was received .,0,,
You are welcome to contact either professor by email or Prof. Schillo by msTeams text Note I am,0,,
in meetings much of most days and will respond with quick responses as soon as  I possibly can.,0,,
METHODS USED TO EVALUATE STUDENT PERFORMANCE,0,,
Individual Evaluation,0,,
Midterm  3h short essay to be discussed in class .,0,,
Participation  Feedback provided on each of the student p resentations,0,,
Team Evaluations,0,,
Assignment 1 Customer Validation,0,,
Teams will prepare a document following guidelines  posted on Brightspace  documenting  the Business,0,,
Opportunity Customer Validation a graphic of the proposed Business Model. This document will be,0,,
accompanied by a slide deck to be presented in class  choose 1 2 speakers for the presentation all team membe rs should be able to answer questions.  Documents  and slide decks  need to be uploaded to,0,,
Brightspace before the deadline and will be graded following the rubric posted there.,0,,
Note  Final  presen tations wil l not be graded but the feedback you provide on other s presentations,0,,
will coun t towards your participation grade.,0,,
Final Business Plan Written Report,0,,
The written business plan should follow the co ntent framework followed throughout the course. It,0,,
should be as realistic and practical as feasible. The written plan must follow the guidelines posted on,0,,
Brightspace .,0,,
The emphasis in grading will be on the evidence and analyses supporting your business i dea as,0,,
indicated in the grading rubric available on Brightspace.,0,,
Please note that it is not possible to submit extra course work to improve your mark.,0,,
Peer Evaluation  Individual grades for the group assignments may vary within a group depending on,0,,
indiv idual contribution to the project. Where necessary students will be asked to either 1 indicate,0,,
the specific contribution for the assignment in question with grades assigned according to that,0,,
individual contribution or 2 students may also be asked to weight their peers contributions and a,0,,
deduction will be imposed based on the feedback received on an individuals contribution. In either,0,,
case this will only be done where group issues are identified in advance  of the assignment being,0,,
submitted.,0,,
EXPECTATIONS FOR STUDENT PARTICIPATION,0,,
This course is designed to be interactive.  Each class contains some form of group work andor class,0,,
discussion. Students are expected to be online at the scheduled time  with microphone and camera,0,,
and focus on the class with minimal distractions so that students can interact with each other and,0,,
the professor. I would like to ask students to contribute to a fun class environment for everyone I,0,,
and expect kind and respectful interactions with peers and the professor  during and outside class.,0,,
We will be using  msteams to connect synchronously. As an essential aspect of academic integrity do,0,,
not share any of the details i.e. link sign in information with anyone outside this section of the,0,,
course.,0,,
If we have to termin ate a  session for any reason  including technical glitches the professor will,0,,
communicate next steps with you via  an announcement on  Brightspace .,0,,
COURSE POLICIES,0,,
COURSE CONDUCT,0,,
The Telfer School of Management prides itself on a strong sense of shared values drawing upon,0,,
principles of respect integrity professionalism and inclusion to guide interactions inside and outside,0,,
the classroom.   The Telfer School strives to provide a we llrounded and outstanding education,0,,
enriched through experiential learning and a positive student experience.  You are encouraged to,0,,
familiarize yourself with our expectations related to course conduct at the Telfer School.   Please refer,0,,
to our  Statement of Shared Rights and Responsibilities.,0,,
PREVENTION OF SEXUAL VIOLENCE,0,,
The University of Ottawa is committed to a safe and healthy campus f or work for study and for,0,,
campus community life for all members of the University community. The University as well as,0,,
various employee and student groups offer a variety of services and resources to ensure that all,0,,
uOttawa community members have access  to confidential support and information and to,0,,
procedures for reporting an incident or filing a complaint. For more information please visit uOttawa,0,,
Sexual violence suppor t and prevention .,0,,
CLASS ATTENDANCE,0,,
Class attendance is expected and is necessary to successfully complete this course.,0,,
